                               No. of Molecules =     5400
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         63.4818
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
       132         -7078.73663        1173.64406       -5905.09256
       133         -7075.62938        1172.02989       -5903.59949
       134         -7072.57647        1170.42940       -5902.14708
       135         -7069.52337        1168.84275       -5900.68062
       136         -7066.52373        1167.27012       -5899.25361
       137         -7063.55121        1165.71165       -5897.83956
       138         -7060.61198        1164.16747       -5896.44452
       139         -7057.70189        1162.63772       -5895.06417
       140         -7054.80489        1161.12255       -5893.68235
       141         -7051.94942        1159.62208       -5892.32734
       142         -7049.11199        1158.13643       -5890.97556
       143         -7046.33283        1156.66572       -5889.66711
       144         -7043.59733        1155.21004       -5888.38729
       145         -7040.83312        1153.76952       -5887.06360
       146         -7038.14854        1152.34425       -5885.80429
       147         -7035.46822        1150.93432       -5884.53390
       148         -7032.83084        1149.53982       -5883.29102
       149         -7030.24102        1148.16082       -5882.08019
       150         -7027.64998        1146.79739       -5880.85259
       151         -7025.10821        1145.44959       -5879.65862
       152         -7022.59509        1144.11750       -5878.47760
       153         -7020.10931        1142.80118       -5877.30812
       154         -7017.65983        1141.50068       -5876.15915
       155         -7015.21268        1140.21605       -5874.99663
       156         -7012.81976        1138.94731       -5873.87245
       157         -7010.46038        1137.69450       -5872.76588
       158         -7008.14051        1136.45764       -5871.68287
       159         -7005.84389        1135.23672       -5870.60717
       160         -7003.59273        1134.03177       -5869.56096
       161         -7001.34850        1132.84277       -5868.50573
       162         -6999.15120        1131.66973       -5867.48147
       163         -6996.97564        1130.51264       -5866.46300
       164         -6994.83661        1129.37150       -5865.46511
       165         -6992.74593        1128.24630       -5864.49964
       166         -6990.67980        1127.13696       -5863.54284
       167         -6988.63962        1126.04347       -5862.59615
       168         -6986.60605        1124.96579       -5861.64026
       169         -6984.63232        1123.90385       -5860.72847
       170         -6982.70944        1122.85763       -5859.85181
       171         -6980.77656        1121.82705       -5858.94951
       172         -6978.88981        1120.81204       -5858.07777
       173         -6977.03869        1119.81253       -5857.22616
       174         -6975.21712        1118.82846       -5856.38866
       175         -6973.44420        1117.85973       -5855.58447
       176         -6971.66936        1116.90626       -5854.76310
       177         -6969.94875        1115.96796       -5853.98078
       178         -6968.25103        1115.04475       -5853.20629
       179         -6966.59084        1114.13651       -5852.45433
       180         -6964.96498        1113.24314       -5851.72185
