                               No. of Molecules =    12800
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         84.8420
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
       132        -17587.82806        3949.13483      -13638.69323
       133        -17587.82806        3959.75965      -13628.06841
       134        -17587.82806        3970.46378      -13617.36428
       135        -17587.82806        3981.24723      -13606.58083
       136        -17587.82806        3992.10999      -13595.71807
       137        -17587.82806        4003.05207      -13584.77599
       138        -17587.82806        4014.07346      -13573.75460
       139        -17587.82806        4025.17417      -13562.65389
       140        -17587.82806        4036.35419      -13551.47387
       141        -17587.82806        4047.61353      -13540.21453
       142        -17587.82806        4058.95218      -13528.87588
       143        -17587.82806        4070.37015      -13517.45792
       144        -17587.82806        4081.86743      -13505.96063
       145        -17587.82806        4093.44403      -13494.38404
       146        -17587.82806        4105.09994      -13482.72813
       147        -17587.82806        4116.83516      -13470.99290
       148        -17587.82806        4128.64971      -13459.17836
       149        -17587.82806        4140.54356      -13447.28450
       150        -17587.82806        4152.51673      -13435.31133
       151        -17587.82806        4164.56922      -13423.25885
       152        -17587.82806        4176.70102      -13411.12705
       153        -17587.82806        4188.91213      -13398.91593
       154        -17587.82806        4201.20256      -13386.62550
       155        -17587.82806        4213.57231      -13374.25575
       156        -17587.82806        4226.02137      -13361.80669
       157        -17587.82806        4238.54974      -13349.27832
       158        -17587.82806        4251.15743      -13336.67063
       159        -17587.82806        4263.84444      -13323.98362
       160        -17587.82806        4276.61076      -13311.21730
       161        -17587.82806        4289.45639      -13298.37167
       162        -17587.82806        4302.38134      -13285.44672
       163        -17587.82806        4315.38561      -13272.44246
       164        -17587.82806        4328.46919      -13259.35888
       165        -17587.82806        4341.63208      -13246.19598
       166        -17587.82806        4354.87429      -13232.95377
       167        -17587.82806        4368.19581      -13219.63225
       168        -17587.82806        4381.59665      -13206.23141
       169        -17587.82806        4395.07680      -13192.75126
       170        -17587.82806        4408.63627      -13179.19179
       171        -17587.82806        4422.27506      -13165.55301
       172        -17587.82806        4435.99315      -13151.83491
