                               No. of Molecules =     1600
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         42.3212
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
       138         -2207.83784         496.53780       -1711.30005
       139         -2207.83784         497.90712       -1709.93072
       140         -2207.83784         499.28663       -1708.55122
       141         -2207.83784         500.67630       -1707.16154
       142         -2207.83784         502.07615       -1705.76169
       143         -2207.83784         503.48617       -1704.35167
       144         -2207.83784         504.90636       -1702.93148
       145         -2207.83784         506.33673       -1701.50111
       146         -2207.83784         507.77727       -1700.06057
       147         -2207.83784         509.22798       -1698.60986
       148         -2207.83784         510.68886       -1697.14898
       149         -2207.83784         512.15992       -1695.67792
       150         -2207.83784         513.64115       -1694.19669
       151         -2207.83784         515.13256       -1692.70528
       152         -2207.83784         516.63413       -1691.20371
       153         -2207.83784         518.14588       -1689.69196
       154         -2207.83784         519.66781       -1688.17003
       155         -2207.83784         521.19990       -1686.63794
       156         -2207.83784         522.74217       -1685.09567
       157         -2207.83784         524.29461       -1683.54323
       158         -2207.83784         525.85723       -1681.98062
       159         -2207.83784         527.43001       -1680.40783
       160         -2207.83784         529.01297       -1678.82487
       161         -2207.83784         530.60611       -1677.23173
       162         -2207.83784         532.20941       -1675.62843
       163         -2207.83784         533.82289       -1674.01495
       164         -2207.83784         535.44654       -1672.39130
       165         -2207.83784         537.08037       -1670.75747
       166         -2207.83784         538.72437       -1669.11348
       167         -2207.83784         540.37854       -1667.45931
       168         -2207.83784         542.04288       -1665.79496
       169         -2207.83784         543.71740       -1664.12045
       170         -2207.83784         545.40209       -1662.43576
       171         -2207.83784         547.09695       -1660.74089
       172         -2207.83784         548.80198       -1659.03586
       173         -2207.83784         550.51719       -1657.32065
       174         -2207.83784         552.24257       -1655.59527
       175         -2207.83784         553.97813       -1653.85972
       176         -2207.83784         555.72385       -1652.11399
       177         -2207.83784         557.47975       -1650.35809
       178         -2207.83784         559.24582       -1648.59202
       179         -2207.83784         561.02207       -1646.81577
       180         -2207.83784         562.80849       -1645.02935
       181         -2207.83784         564.60508       -1643.23276
       182         -2207.83784         566.41184       -1641.42600
       183         -2207.83784         568.22878       -1639.60906
       184         -2207.83784         570.05589       -1637.78195
       185         -2207.83784         571.89318       -1635.94467
       186         -2207.83784         573.74063       -1634.09721
       187         -2207.83784         575.59826       -1632.23958
       188         -2207.83784         577.46606       -1630.37178
       189         -2207.83784         579.34404       -1628.49380
       190         -2207.83784         581.23218       -1626.60566
       191         -2207.83784         583.13051       -1624.70734
       192         -2207.83784         585.03900       -1622.79884
       193         -2207.83784         586.95767       -1620.88018
       194         -2207.83784         588.88651       -1618.95134
       195         -2207.83784         590.82552       -1617.01232
       196         -2207.83784         592.77470       -1615.06314
       197         -2207.83784         594.73406       -1613.10378
       198         -2207.83784         596.70359       -1611.13425
       199         -2207.83784         598.68330       -1609.15455
       200         -2207.83784         600.67317       -1607.16467
       201         -2207.83784         602.67322       -1605.16462
       202         -2207.83784         604.68345       -1603.15440
       203         -2207.83784         606.70384       -1601.13400
       204         -2207.83784         608.73441       -1599.10343
       205         -2207.83784         610.77515       -1597.06269
       206         -2207.83784         612.82607       -1595.01178
       207         -2207.83784         614.88715       -1592.95069
       208         -2207.83784         616.95841       -1590.87943
       209         -2207.83784         619.03985       -1588.79799
       210         -2207.83784         621.13145       -1586.70639
       211         -2207.83784         623.23323       -1584.60461
       212         -2207.83784         625.34518       -1582.49266
       213         -2207.83784         627.46731       -1580.37053
       214         -2207.83784         629.59961       -1578.23823
       215         -2207.83784         631.74208       -1576.09576
       216         -2207.83784         633.89472       -1573.94312
       217         -2207.83784         636.05754       -1571.78030
       218         -2207.83784         638.23053       -1569.60731
       219         -2207.83784         640.41369       -1567.42415
       220         -2207.83784         642.60702       -1565.23082
       221         -2207.83784         644.81053       -1563.02731
       222         -2207.83784         647.02421       -1560.81363
       223         -2207.83784         649.24807       -1558.58977
       224         -2207.83784         651.48209       -1556.35575
       225         -2207.83784         653.72629       -1554.11155
       226         -2207.83784         655.98067       -1551.85717
       227         -2207.83784         658.24521       -1549.59263
       228         -2207.83784         660.51993       -1547.31791
       229         -2207.83784         662.80482       -1545.03302
       230         -2207.83784         665.09989       -1542.73795
       231         -2207.83784         667.40513       -1540.43272
       232         -2207.83784         669.72054       -1538.11731
       233         -2207.83784         672.04612       -1535.79172
       234         -2207.83784         674.38188       -1533.45597
       235         -2207.83784         676.72780       -1531.11004
       236         -2207.83784         679.08391       -1528.75393
       237         -2207.83784         681.45018       -1526.38766
       238         -2207.83784         683.82663       -1524.01121
       239         -2207.83784         686.21325       -1521.62459
       240         -2207.83784         688.61004       -1519.22780
       241         -2207.83784         691.01701       -1516.82083
       242         -2207.83784         693.43415       -1514.40369
       243         -2207.83784         695.86146       -1511.97638
       244         -2207.83784         698.29895       -1509.53889
       245         -2207.83784         700.74661       -1507.09123
       246         -2207.83784         703.20444       -1504.63340
       247         -2207.83784         705.67244       -1502.16540
       248         -2207.83784         708.15062       -1499.68722
       249         -2207.83784         710.63897       -1497.19887
       250         -2207.83784         713.13749       -1494.70035
       251         -2207.83784         715.64619       -1492.19165
       252         -2207.83784         718.16506       -1489.67278
       253         -2207.83784         720.69410       -1487.14374
       254         -2207.83784         723.23331       -1484.60453
       255         -2207.83784         725.78270       -1482.05514
       256         -2207.83784         728.34226       -1479.49558
       257         -2207.83784         730.91199       -1476.92585
       258         -2207.83784         733.49190       -1474.34594
       259         -2207.83784         736.08198       -1471.75586
       260         -2207.83784         738.68223       -1469.15561
       261         -2207.83784         741.29266       -1466.54518
       262         -2207.83784         743.91325       -1463.92459
       263         -2207.83784         746.54403       -1461.29382
       264         -2207.83784         749.18497       -1458.65287
       265         -2207.83784         751.83609       -1456.00175
       266         -2207.83784         754.49738       -1453.34047
       267         -2207.83784         757.16884       -1450.66900
       268         -2207.83784         759.85047       -1447.98737
       269         -2207.83784         762.54228       -1445.29556
       270         -2207.83784         765.24426       -1442.59358
       271         -2207.83784         767.95642       -1439.88142
       272         -2207.83784         770.67875       -1437.15910
       273         -2207.83784         773.41125       -1434.42660
       274         -2207.83784         776.15392       -1431.68392
       275         -2207.83784         778.90676       -1428.93108
       276         -2207.83784         781.66978       -1426.16806
       277         -2207.83784         784.44297       -1423.39487
       278         -2207.83784         787.22634       -1420.61150
       279         -2207.83784         790.01988       -1417.81796
       280         -2207.83784         792.82359       -1415.01425
       281         -2207.83784         795.63747       -1412.20037
       282         -2207.83784         798.46153       -1409.37631
       283         -2207.83784         801.29576       -1406.54208
       284         -2207.83784         804.14016       -1403.69768
       285         -2207.83784         806.99473       -1400.84311
       286         -2207.83784         809.85948       -1397.97836
       287         -2207.83784         812.73440       -1395.10344
       288         -2207.83784         815.61950       -1392.21834
       289         -2207.83784         818.51476       -1389.32308
       290         -2207.83784         821.42020       -1386.41764
       291         -2207.83784         824.33582       -1383.50203
       292         -2207.83784         827.26160       -1380.57624
       293         -2207.83784         830.19756       -1377.64028
       294         -2207.83784         833.14369       -1374.69415
       295         -2207.83784         836.10000       -1371.73785
       296         -2207.83784         839.06647       -1368.77137
       297         -2207.83784         842.04312       -1365.79472
       298         -2207.83784         845.02995       -1362.80789
       299         -2207.83784         848.02694       -1359.81090
       300         -2207.83784         851.03411       -1356.80373
       301         -2207.83784         854.05145       -1353.78639
       302         -2207.83784         857.07897       -1350.75887
       303         -2207.83784         860.11666       -1347.72119
       304         -2207.83784         863.16452       -1344.67333
       305         -2207.83784         866.22255       -1341.61529
       306         -2207.83784         869.29076       -1338.54709
       307         -2207.83784         872.36914       -1335.46871
       308         -2207.83784         875.45769       -1332.38015
       309         -2207.83784         878.55641       -1329.28143
       310         -2207.83784         881.66531       -1326.17253
       311         -2207.83784         884.78438       -1323.05346
       312         -2207.83784         887.91363       -1319.92422
       313         -2207.83784         891.05304       -1316.78480
       314         -2207.83784         894.20263       -1313.63521
       315         -2207.83784         897.36240       -1310.47545
       316         -2207.83784         900.53233       -1307.30551
       317         -2207.83784         903.71244       -1304.12540
       318         -2207.83784         906.90272       -1300.93512
       319         -2207.83784         910.10318       -1297.73467
       320         -2207.83784         913.31380       -1294.52404
       321         -2207.83784         916.53460       -1291.30324
