                               No. of Molecules =     1600
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         42.3212
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
         1         -2207.72105         405.08312       -1802.63793
         2         -2207.60101         405.01627       -1802.58474
         3         -2207.47515         404.93835       -1802.53680
         4         -2207.32423         404.84937       -1802.47486
         5         -2207.13936         404.74932       -1802.39004
         6         -2206.94577         404.63824       -1802.30753
         7         -2206.72868         404.51613       -1802.21255
         8         -2206.45850         404.38302       -1802.07547
         9         -2206.18864         404.23895       -1801.94969
        10         -2205.91323         404.08393       -1801.82930
        11         -2205.61900         403.91801       -1801.70099
        12         -2205.29712         403.74120       -1801.55592
        13         -2204.93880         403.55357       -1801.38523
        14         -2204.56489         403.35517       -1801.20972
        15         -2204.17843         403.14601       -1801.03242
        16         -2203.76915         402.92617       -1800.84298
        17         -2203.34311         402.69570       -1800.64741
        18         -2202.88855         402.45465       -1800.43390
        19         -2202.43079         402.20309       -1800.22771
        20         -2201.93887         401.94109       -1799.99778
        21         -2201.42031         401.66870       -1799.75161
        22         -2200.89009         401.38602       -1799.50407
        23         -2200.36319         401.09311       -1799.27008
        24         -2199.78050         400.79007       -1798.99043
        25         -2199.19112         400.47698       -1798.71414
        26         -2198.57447         400.15393       -1798.42054
        27         -2197.94703         399.82101       -1798.12602
        28         -2197.30012         399.47832       -1797.82180
        29         -2196.62652         399.12596       -1797.50056
        30         -2195.94569         398.76403       -1797.18166
        31         -2195.24305         398.39264       -1796.85042
        32         -2194.50401         398.01189       -1796.49212
        33         -2193.76137         397.62191       -1796.13946
        34         -2193.00500         397.22280       -1795.78220
        35         -2192.22035         396.81471       -1795.40564
        36         -2191.43582         396.39775       -1795.03807
        37         -2190.61164         395.97204       -1794.63960
        38         -2189.77032         395.53772       -1794.23260
        39         -2188.91363         395.09493       -1793.81869
        40         -2188.02850         394.64382       -1793.38468
        41         -2187.15524         394.18452       -1792.97072
        42         -2186.25708         393.71718       -1792.53990
        43         -2185.35211         393.24195       -1792.11016
        44         -2184.41695         392.75899       -1791.65796
        45         -2183.46522         392.26844       -1791.19678
        46         -2182.50612         391.77046       -1790.73566
        47         -2181.53997         391.26520       -1790.27477
        48         -2180.54341         390.75285       -1789.79056
        49         -2179.53751         390.23357       -1789.30394
        50         -2178.50485         389.70752       -1788.79733
        51         -2177.47686         389.17487       -1788.30199
        52         -2176.43019         388.63580       -1787.79438
        53         -2175.37852         388.09049       -1787.28803
        54         -2174.31628         387.53910       -1786.77719
        55         -2173.24088         386.98182       -1786.25906
        56         -2172.15267         386.41883       -1785.73384
        57         -2171.03719         385.85031       -1785.18688
        58         -2169.92001         385.27644       -1784.64357
        59         -2168.79409         384.69742       -1784.09667
        60         -2167.65832         384.11342       -1783.54490
        61         -2166.52641         383.52464       -1783.00177
        62         -2165.36908         382.93124       -1782.43784
        63         -2164.20748         382.33343       -1781.87404
        64         -2163.04196         381.73139       -1781.31056
        65         -2161.86993         381.12530       -1780.74462
        66         -2160.67546         380.51535       -1780.16011
        67         -2159.48563         379.90174       -1779.58389
        68         -2158.28597         379.28464       -1779.00133
        69         -2157.07688         378.66427       -1778.41261
        70         -2155.89136         378.04081       -1777.85054
        71         -2154.67050         377.41443       -1777.25607
        72         -2153.44723         376.78531       -1776.66192
        73         -2152.23231         376.15366       -1776.07865
        74         -2151.00982         375.51963       -1775.49018
        75         -2149.77566         374.88343       -1774.89224
        76         -2148.54059         374.24523       -1774.29536
        77         -2147.27978         373.60522       -1773.67456
        78         -2146.03657         372.96358       -1773.07299
        79         -2144.78759         372.32048       -1772.46711
        80         -2143.53764         371.67609       -1771.86155
        81         -2142.27669         371.03060       -1771.24610
        82         -2141.01844         370.38417       -1770.63427
        83         -2139.76471         369.73699       -1770.02772
        84         -2138.50253         369.08922       -1769.41330
        85         -2137.25000         368.44104       -1768.80896
        86         -2135.99561         367.79262       -1768.20300
        87         -2134.71750         367.14413       -1767.57338
        88         -2133.45598         366.49572       -1766.96026
        89         -2132.19950         365.84755       -1766.35195
        90         -2130.94544         365.19979       -1765.74565
        91         -2129.70744         364.55260       -1765.15485
        92         -2128.46064         363.90613       -1764.55451
        93         -2127.20981         363.26056       -1763.94925
        94         -2125.96263         362.61600       -1763.34663
        95         -2124.72533         361.97262       -1762.75270
        96         -2123.46857         361.33057       -1762.13800
        97         -2122.23562         360.68999       -1761.54563
        98         -2120.99419         360.05104       -1760.94314
        99         -2119.74900         359.41387       -1760.33513
       100         -2118.52701         358.77859       -1759.74841
       101         -2117.29441         358.14537       -1759.14904
       102         -2116.07667         357.51433       -1758.56234
       103         -2114.85925         356.88562       -1757.97364
       104         -2113.64539         356.25937       -1757.38603
       105         -2112.45314         355.63572       -1756.81742
       106         -2111.26204         355.01481       -1756.24723
       107         -2110.07233         354.39676       -1755.67557
       108         -2108.87835         353.78171       -1755.09664
       109         -2107.68925         353.16978       -1754.51947
       110         -2106.52008         352.56110       -1753.95898
       111         -2105.33852         351.95580       -1753.38272
       112         -2104.18780         351.35401       -1752.83378
       113         -2103.03850         350.75585       -1752.28266
       114         -2101.89829         350.16143       -1751.73686
       115         -2100.77332         349.57087       -1751.20245
       116         -2099.62676         348.98428       -1750.64248
       117         -2098.51517         348.40179       -1750.11338
       118         -2097.40467         347.82350       -1749.58118
       119         -2096.30588         347.24952       -1749.05636
       120         -2095.19827         346.67998       -1748.51829
       121         -2094.12059         346.11499       -1748.00561
       122         -2093.04935         345.55464       -1747.49471
       123         -2091.98031         344.99905       -1746.98126
       124         -2090.92109         344.44832       -1746.47277
       125         -2089.87783         343.90257       -1745.97527
       126         -2088.84926         343.36188       -1745.48737
       127         -2087.82668         342.82638       -1745.00030
       128         -2086.81327         342.29615       -1744.51712
       129         -2085.78402         341.77129       -1744.01272
       130         -2084.81765         341.25191       -1743.56574
       131         -2083.83881         340.73809       -1743.10072
       132         -2082.86693         340.22993       -1742.63700
       133         -2081.90959         339.72752       -1742.18206
       134         -2080.95513         339.23097       -1741.72416
       135         -2080.00520         338.74033       -1741.26487
       136         -2079.07180         338.25569       -1740.81611
       137         -2078.15956         337.77714       -1740.38241
       138         -2077.27157         337.30477       -1739.96680
       139         -2076.37542         336.83865       -1739.53678
       140         -2075.50090         336.37886       -1739.12205
       141         -2074.64666         335.92546       -1738.72120
       142         -2073.79656         335.47855       -1738.31801
       143         -2072.95664         335.03817       -1737.91847
       144         -2072.13000         334.60440       -1737.52560
       145         -2071.32565         334.17728       -1737.14836
       146         -2070.54073         333.75689       -1736.78384
       147         -2069.74723         333.34330       -1736.40393
       148         -2068.98082         332.93655       -1736.04427
       149         -2068.22676         332.53668       -1735.69008
       150         -2067.50294         332.14375       -1735.35919
       151         -2066.77982         331.75781       -1735.02200
       152         -2066.06193         331.37891       -1734.68302
       153         -2065.36416         331.00707       -1734.35709
       154         -2064.68363         330.64234       -1734.04129
       155         -2064.01444         330.28473       -1733.72972
       156         -2063.36407         329.93428       -1733.42978
       157         -2062.72813         329.59103       -1733.13710
       158         -2062.10964         329.25499       -1732.85465
       159         -2061.50860         328.92617       -1732.58243
       160         -2060.92208         328.60458       -1732.31750
       161         -2060.33232         328.29023       -1732.04208
       162         -2059.74820         327.98313       -1731.76507
       163         -2059.19937         327.68328       -1731.51609
       164         -2058.65917         327.39068       -1731.26849
       165         -2058.11573         327.10534       -1731.01039
       166         -2057.59867         326.82723       -1730.77143
       167         -2057.10350         326.55635       -1730.54715
       168         -2056.62280         326.29268       -1730.33012
       169         -2056.15355         326.03620       -1730.11735
       170         -2055.70162         325.78688       -1729.91475
       171         -2055.24919         325.54469       -1729.70450
       172         -2054.80952         325.30961       -1729.49991
       173         -2054.40329         325.08161       -1729.32168
       174         -2054.00970         324.86065       -1729.14905
       175         -2053.62421         324.64669       -1728.97752
       176         -2053.25115         324.43966       -1728.81149
       177         -2052.87562         324.23954       -1728.63608
       178         -2052.52271         324.04626       -1728.47645
       179         -2052.19526         323.85977       -1728.33549
       180         -2051.87241         323.68002       -1728.19239
       181         -2051.56885         323.50694       -1728.06191
       182         -2051.28152         323.34048       -1727.94104
       183         -2051.00137         323.18056       -1727.82081
       184         -2050.75198         323.02712       -1727.72486
       185         -2050.50506         322.88009       -1727.62497
       186         -2050.27971         322.73938       -1727.54032
       187         -2050.06391         322.60493       -1727.45898
       188         -2049.84714         322.47664       -1727.37050
       189         -2049.65740         322.35446       -1727.30293
       190         -2049.49007         322.23829       -1727.25177
       191         -2049.31683         322.12805       -1727.18878
       192         -2049.15973         322.02364       -1727.13609
       193         -2049.01710         321.92499       -1727.09212
       194         -2048.88433         321.83199       -1727.05233
       195         -2048.74789         321.74457       -1727.00332
