                               No. of Molecules =     5400
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         63.4818
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
         1         -7451.43244        1367.97604       -6083.45641
         2         -7451.43244        1368.04088       -6083.39157
         3         -7451.43244        1368.14005       -6083.29239
         4         -7451.43244        1368.27356       -6083.15888
         5         -7451.43244        1368.44140       -6082.99104
         6         -7451.43244        1368.64358       -6082.78886
         7         -7451.43244        1368.88009       -6082.55235
         8         -7451.43244        1369.15093       -6082.28151
         9         -7451.43244        1369.45611       -6081.97633
        10         -7451.43244        1369.79562       -6081.63682
        11         -7451.43244        1370.16947       -6081.26297
        12         -7451.43244        1370.57765       -6080.85480
        13         -7451.43244        1371.02016       -6080.41228
        14         -7451.43244        1371.49700       -6079.93544
        15         -7451.43244        1372.00818       -6079.42426
        16         -7451.43244        1372.55370       -6078.87875
        17         -7451.43244        1373.13354       -6078.29890
        18         -7451.43244        1373.74772       -6077.68472
        19         -7451.43244        1374.39624       -6077.03620
        20         -7451.43244        1375.07909       -6076.35336
        21         -7451.43244        1375.79627       -6075.63617
        22         -7451.43244        1376.54778       -6074.88466
        23         -7451.43244        1377.33363       -6074.09881
        24         -7451.43244        1378.15382       -6073.27863
        25         -7451.43244        1379.00833       -6072.42411
        26         -7451.43244        1379.89718       -6071.53526
        27         -7451.43244        1380.82037       -6070.61208
        28         -7451.43244        1381.77788       -6069.65456
        29         -7451.43244        1382.76973       -6068.66271
        30         -7451.43244        1383.79592       -6067.63652
        31         -7451.43244        1384.85644       -6066.57601
        32         -7451.43244        1385.95129       -6065.48115
        33         -7451.43244        1387.08047       -6064.35197
        34         -7451.43244        1388.24399       -6063.18845
        35         -7451.43244        1389.44185       -6061.99060
        36         -7451.43244        1390.67403       -6060.75841
        37         -7451.43244        1391.94055       -6059.49189
        38         -7451.43244        1393.24141       -6058.19103
        39         -7451.43244        1394.57660       -6056.85585
        40         -7451.43244        1395.94612       -6055.48632
        41         -7451.43244        1397.34997       -6054.08247
        42         -7451.43244        1398.78816       -6052.64428
        43         -7451.43244        1400.26068       -6051.17176
        44         -7451.43244        1401.76754       -6049.66490
        45         -7451.43244        1403.30873       -6048.12371
        46         -7451.43244        1404.88425       -6046.54819
        47         -7451.43244        1406.49411       -6044.93833
        48         -7451.43244        1408.13830       -6043.29414
        49         -7451.43244        1409.81683       -6041.61562
        50         -7451.43244        1411.52969       -6039.90276
        51         -7451.43244        1413.27688       -6038.15556
        52         -7451.43244        1415.05840       -6036.37404
        53         -7451.43244        1416.87426       -6034.55818
        54         -7451.43244        1418.72446       -6032.70799
        55         -7451.43244        1420.60898       -6030.82346
        56         -7451.43244        1422.52784       -6028.90460
        57         -7451.43244        1424.48104       -6026.95141
        58         -7451.43244        1426.46856       -6024.96388
        59         -7451.43244        1428.49043       -6022.94202
        60         -7451.43244        1430.54662       -6020.88582
        61         -7451.43244        1432.63715       -6018.79529
        62         -7451.43244        1434.76201       -6016.67043
        63         -7451.43244        1436.92121       -6014.51123
        64         -7451.43244        1439.11474       -6012.31770
        65         -7451.43244        1441.34260       -6010.08984
        66         -7451.43244        1443.60480       -6007.82764
        67         -7451.43244        1445.90133       -6005.53111
        68         -7451.43244        1448.23219       -6003.20025
        69         -7451.43244        1450.59739       -6000.83505
        70         -7451.43244        1452.99692       -5998.43552
        71         -7451.43244        1455.43079       -5996.00165
        72         -7451.43244        1457.89899       -5993.53345
        73         -7451.43244        1460.40152       -5991.03092
        74         -7451.43244        1462.93839       -5988.49405
        75         -7451.43244        1465.50959       -5985.92285
        76         -7451.43244        1468.11512       -5983.31732
        77         -7451.43244        1470.75499       -5980.67745
        78         -7451.43244        1473.42919       -5978.00325
        79         -7451.43244        1476.13773       -5975.29472
        80         -7451.43244        1478.88060       -5972.55185
        81         -7451.43244        1481.65780       -5969.77464
        82         -7451.43244        1484.46933       -5966.96311
        83         -7451.43244        1487.31520       -5964.11724
        84         -7451.43244        1490.19541       -5961.23704
        85         -7451.43244        1493.10994       -5958.32250
        86         -7451.43244        1496.05881       -5955.37363
        87         -7451.43244        1499.04202       -5952.39042
        88         -7451.43244        1502.05956       -5949.37289
        89         -7451.43244        1505.11143       -5946.32101
        90         -7451.43244        1508.19763       -5943.23481
        91         -7451.43244        1511.31817       -5940.11427
        92         -7451.43244        1514.47305       -5936.95940
        93         -7451.43244        1517.66225       -5933.77019
        94         -7451.43244        1520.88579       -5930.54665
        95         -7451.43244        1524.14367       -5927.28878
        96         -7451.43244        1527.43587       -5923.99657
        97         -7451.43244        1530.76242       -5920.67003
        98         -7451.43244        1534.12329       -5917.30915
        99         -7451.43244        1537.51850       -5913.91394
       100         -7451.43244        1540.94804       -5910.48440
       101         -7451.43244        1544.41192       -5907.02052
       102         -7451.43244        1547.91013       -5903.52232
       103         -7451.43244        1551.44267       -5899.98977
       104         -7451.43244        1555.00955       -5896.42289
       105         -7451.43244        1558.61076       -5892.82168
       106         -7451.43244        1562.24630       -5889.18614
       107         -7451.43244        1565.91618       -5885.51626
       108         -7451.43244        1569.62039       -5881.81205
       109         -7451.43244        1573.35894       -5878.07350
       110         -7451.43244        1577.13182       -5874.30063
       111         -7451.43244        1580.93903       -5870.49341
       112         -7451.43244        1584.78058       -5866.65187
       113         -7451.43244        1588.65646       -5862.77599
       114         -7451.43244        1592.56667       -5858.86577
       115         -7451.43244        1596.51122       -5854.92123
       116         -7451.43244        1600.49010       -5850.94234
       117         -7451.43244        1604.50331       -5846.92913
       118         -7451.43244        1608.55086       -5842.88158
       119         -7451.43244        1612.63274       -5838.79970
       120         -7451.43244        1616.74896       -5834.68348
       121         -7451.43244        1620.89951       -5830.53293
       122         -7451.43244        1625.08439       -5826.34805
       123         -7451.43244        1629.30361       -5822.12883
       124         -7451.43244        1633.55716       -5817.87528
       125         -7451.43244        1637.84504       -5813.58740
       126         -7451.43244        1642.16726       -5809.26518
       127         -7451.43244        1646.52381       -5804.90863
       128         -7451.43244        1650.91470       -5800.51774
       129         -7451.43244        1655.33992       -5796.09252
       130         -7451.43244        1659.79947       -5791.63297
       131         -7451.43244        1664.29336       -5787.13909
       132         -7451.43244        1668.82158       -5782.61087
       133         -7451.43244        1673.38413       -5778.04831
       134         -7451.43244        1677.98102       -5773.45142
       135         -7451.43244        1682.61224       -5768.82020
       136         -7451.43244        1687.27779       -5764.15465
       137         -7451.43244        1691.97768       -5759.45476
       138         -7451.43244        1696.71190       -5754.72054
       139         -7451.43244        1701.48046       -5749.95198
       140         -7451.43244        1706.28335       -5745.14909
       141         -7451.43244        1711.12057       -5740.31187
       142         -7451.43244        1715.99213       -5735.44031
       143         -7451.43244        1720.89802       -5730.53442
       144         -7451.43244        1725.83824       -5725.59420
       145         -7451.43244        1730.81280       -5720.61964
       146         -7451.43244        1735.82169       -5715.61075
       147         -7451.43244        1740.86492       -5710.56752
       148         -7451.43244        1745.94248       -5705.48997
       149         -7451.43244        1751.05437       -5700.37807
       150         -7451.43244        1756.20060       -5695.23185
       151         -7451.43244        1761.38116       -5690.05129
       152         -7451.43244        1766.59605       -5684.83639
       153         -7451.43244        1771.84528       -5679.58717
       154         -7451.43244        1777.12884       -5674.30360
       155         -7451.43244        1782.44673       -5668.98571
